"tour","tournament","surface","fixture_date","day_label","match_time","round","home","away","match_id","match_url","h2h","odds_home","odds_away","home_surf_W","home_surf_L","away_surf_W","away_surf_L","home_form_W","home_form_L","away_form_W","away_form_L","home_last_matches","away_last_matches","result_status","result_home_sets","result_away_sets","result_total_games","result_sets_played","result_set_scores","result_swapped"
"ATP","Hamburg","Clay",46164,"today","15:30","SF","Kovacevic","Buse","3211919","https://www.tennisexplorer.com/match-detail/?id=3211919","0-0",3.85,1.26,7,7,14,9,6,4,8,2,"W | Hamburg, QF, 21.05.2026 | Kovacevic - Ugo Carabelli | 2:1 (6-4, 6(10)-7, 6-2) ;; W | Hamburg, R16, 20.05.2026 | Kovacevic - Auger Aliassime | 2:1 (4-6, 7-5, 6-4) ;; W | Hamburg, 1R, 19.05.2026 | Kovacevic - Gea | 2:0 (6-2, 7-6(3)) ;; L | Hamburg, Q-QF, 17.05.2026 | Gea - Kovacevic | 2:1 (7-5, 4-6, 6-4) ;; W | Hamburg, Q-R16, 16.05.2026 | Kovacevic - Zhang | 2:1 (6(6)-7, 7-5, 6-2) ;; L | Valencie challenger, R16, 14.05.2026 | Tabilo - Kovacevic | 2:0 (6-3, 6-1) ;; W | Valencie challenger, 1R, 13.05.2026 | Kovacevic - Merida Aguilar | 2:1 (6-3, 5-7, 6-2) ;; L | Rome, 2R, 08.05.2026 | Van De Zandschulp - Kovacevic | 2:1 (2-6, 6-2, 7-6(5)) ;; L | Rome, Q-2R, 05.05.2026 | Fearnley - Kovacevic | 2:1 (2-6, 6-2, 6-3) ;; W | Rome, Q-1R, 04.05.2026 | Kovacevic - Carboni | 2:0 (6-4, 7-6(4))","W | Hamburg, QF, 21.05.2026 | Buse - Humbert | 2:1 (6-3, 5-7, 6-3) ;; W | Hamburg, R16, 20.05.2026 | Buse - Mensik | 2:0 (6-0, 6-3) ;; W | Hamburg, 1R, 19.05.2026 | Buse - Cobolli | 2:0 (6-2, 7-5) ;; W | Hamburg, Q-QF, 17.05.2026 | Buse - Gaston | 2:0 (6-1, 6-2) ;; W | Hamburg, Q-R16, 16.05.2026 | Buse - McDonald | 2:0 (6-2, 6-0) ;; L | Rome, 2R, 09.05.2026 | Tiafoe - Buse | 2:1 (6(5)-7, 6-3, 6-2) ;; W | Rome, 1R, 07.05.2026 | Buse - Sonego | 2:0 (6-3, 6-3) ;; L | Aix en Provence challenger, QF, 01.05.2026 | Tabilo - Buse | 2:0 (6-4, 6-0) ;; W | Aix en Provence challenger, R16, 30.04.2026 | Buse - Faurel | 2:0 (6-4, 6-2) ;; W | Aix en Provence challenger, 1R, 29.04.2026 | Buse - Comesana | 2:0 (7-6(4), 6-3)","FINAL",0,2,17,2,"(6-1, 6-4)",TRUE
"ATP","Hamburg","Clay",46164,"today","17:30","SF","De Minaur","Paul","3212133","https://www.tennisexplorer.com/match-detail/?id=3212133","5-1",1.7,2.12,6,4,8,2,6,4,8,2,"W | Hamburg, QF, 21.05.2026 | De Minaur - Darderi | 2:0 (6-0, 6-3) ;; W | Hamburg, R16, 20.05.2026 | De Minaur - Davidovich Fokina | 2:1 (6-2, 4-6, 6-4) ;; W | Hamburg, 1R, 18.05.2026 | De Minaur - Cerundolo | 2:1 (3-6, 6-4, 6-3) ;; L | Rome, 2R, 08.05.2026 | Arnaldi - De Minaur | 2:1 (4-6, 7-6(5), 6-4) ;; L | Madrid, 2R, 24.04.2026 | Jodar - De Minaur | 2:0 (6-3, 6-1) ;; L | Barcelona, R16, 15.04.2026 | Medjedovic - De Minaur | 2:0 (6-3, 6-4) ;; W | Barcelona, 1R, 14.04.2026 | De Minaur - Ofner | 2:0 (7-6(7), 6-4) ;; L | Monte Carlo, QF, 10.04.2026 | Vacherot - De Minaur | 2:1 (6-4, 3-6, 6-3) ;; W | Monte Carlo, R16, 09.04.2026 | De Minaur - Blockx | 2:0 (7-5, 7-6(4)) ;; W | Monte Carlo, 2R, 07.04.2026 | De Minaur - Norrie | 2:1 (7-6(5), 2-6, 6-2)","W | Hamburg, QF, 21.05.2026 | Paul - Altmaier | 2:0 (6-2, 7-5) ;; W | Hamburg, R16, 20.05.2026 | Paul - Etcheverry | 2:1 (6(5)-7, 7-6(5), 7-6(7)) ;; W | Hamburg, 1R, 17.05.2026 | Paul - Quinn | 2:0 (6-1, 6-3) ;; L | Rome, 3R, 10.05.2026 | Darderi - Paul | 2:1 (3-6, 6-3, 6-2) ;; W | Rome, 2R, 08.05.2026 | Paul - Vukic | 2:0 (6-4, 6-2) ;; L | Madrid, 2R, 24.04.2026 | Tirante - Paul | 2:0 (7-5, 6-4) ;; W | Houston, F, 05.04.2026 | Paul - Burruchaga | 2:1 (6-1, 3-6, 7-5) ;; W | Houston, SF, 04.04.2026 | Paul - Tiafoe | 2:1 (7-5, 4-6, 7-6(7)) ;; W | Houston, QF, 03.04.2026 | Paul - Etcheverry | 2:0 (6-4, 6-2) ;; W | Houston, R16, 02.04.2026 | Paul - Vallejo | 2:1 (3-6, 6-4, 6-4)","FINAL",1,2,26,3,"(2-6, 6-3, 6-3)",TRUE
"ATP","Geneva","Clay",46164,"today","14:00","SF","Ruud","Navone","3211553","https://www.tennisexplorer.com/match-detail/?id=3211553","1-0",1.25,3.88,13,3,13,7,8,2,6,4,"W | Geneva, QF, 21.05.2026 | Ruud - Popyrin | 2:0 (6-4, 6-3) ;; W | Geneva, R16, 20.05.2026 | Ruud - Collignon | 2:0 (7-6(2), 6-2) ;; W | Geneva, 1R, 19.05.2026 | Ruud - Brooksby | 2:0 (6-3, 7-5) ;; L | Rome, F, 17.05.2026 | Sinner - Ruud | 2:0 (6-4, 6-4) ;; W | Rome, SF, 15.05.2026 | Ruud - Darderi | 2:0 (6-1, 6-1) ;; W | Rome, QF, 13.05.2026 | Ruud - Khachanov | 2:1 (6-1, 1-6, 6-2) ;; W | Rome, R16, 12.05.2026 | Ruud - Musetti | 2:0 (6-3, 6-1) ;; W | Rome, 3R, 10.05.2026 | Ruud - Lehecka | 2:0 (6-3, 6-4) ;; W | Rome, 2R, 08.05.2026 | Ruud - Svajda | 2:0 (6-1, 6-3) ;; L | Madrid, QF, 30.04.2026 | Blockx - Ruud | 2:0 (6-4, 6-4)","W | Geneva, QF, 21.05.2026 | Navone - Munar | 2:0 (6-2, 6-2) ;; W | Geneva, R16, 20.05.2026 | Navone - Norrie | 2:0 (6-4, 6-4) ;; W | Geneva, 1R, 17.05.2026 | Navone - Trungelliti | 2:1 (5-7, 7-5, 6-1) ;; L | Rome, 3R, 11.05.2026 | Medjedovic - Navone | 2:1 (4-6, 6-3, 6-4) ;; W | Rome, 2R, 09.05.2026 | Navone - Auger Aliassime | 2:0 (7-6(4), 7-6(5)) ;; W | Rome, 1R, 07.05.2026 | Navone - Shapovalov | 2:0 (6-4, 6-2) ;; L | Cagliari challenger, R16, 30.04.2026 | Berrettini - Navone | 2:0 (7-5, 6-3) ;; L | Madrid, 2R, 25.04.2026 | Zverev - Navone | 2:1 (6-1, 3-6, 6-3) ;; W | Madrid, 1R, 23.04.2026 | Navone - Borges | 2:0 (6-3, 6-4) ;; L | Barcelona, 1R, 14.04.2026 | Rublev - Navone | 2:0 (6-4, 7-5)","FINAL",0,2,20,2,"(7-5, 6-2)",TRUE
"ATP","Geneva","Clay",46164,"today","15:30","SF","Tien","Bublik","3212131","https://www.tennisexplorer.com/match-detail/?id=3212131","1-0",2.1,1.72,5,3,5,4,5,5,5,5,"W | Geneva, QF, 21.05.2026 | Tien - Michelsen | 2:1 (6-4, 3-6, 6-1) ;; W | Geneva, R16, 20.05.2026 | Tien - Tsitsipas | 2:0 (7-6(4), 7-6(2)) ;; L | Rome, R16, 12.05.2026 | Jodar - Tien | 2:0 (6-1, 6-4) ;; W | Rome, 3R, 10.05.2026 | Tien - Bublik | 2:1 (4-6, 6-3, 7-5) ;; W | Rome, 2R, 08.05.2026 | Tien - Dzumhur | 2:0 (6-2, 6-1) ;; L | Madrid, 2R, 25.04.2026 | Vallejo - Tien | 2:0 (6-4, 6-3) ;; L | Houston, QF, 03.04.2026 | Burruchaga - Tien | 2:0 (7-5, 6-4) ;; W | Houston, R16, 02.04.2026 | Tien - Basavareddy | 2:1 (6-3, 3-6, 6-1) ;; L | Miami, 2R, 21.03.2026 | Majchrzak - Tien | 2:1 (6-2, 4-6, 6-2) ;; L | Indian Wells, QF, 12.03.2026 | Sinner - Tien | 2:0 (6-1, 6-2)","W | Geneva, QF, 21.05.2026 | Bublik - Rinderknech | 2:1 (5-7, 6-4, 6-2) ;; W | Geneva, R16, 20.05.2026 | Bublik - Butvilas | 2:0 (6-4, 6-3) ;; L | Rome, 3R, 10.05.2026 | Tien - Bublik | 2:1 (4-6, 6-3, 7-5) ;; W | Rome, 2R, 08.05.2026 | Bublik - Baez | 2:0 (6-1, 6-2) ;; L | Madrid, 2R, 25.04.2026 | Tsitsipas - Bublik | 2:0 (6-2, 7-5) ;; L | Munich, 1R, 14.04.2026 | Molcan - Bublik | 2:0 (6-4, 6-2) ;; L | Monte Carlo, QF, 10.04.2026 | Alcaraz - Bublik | 2:0 (6-3, 6-0) ;; W | Monte Carlo, R16, 09.04.2026 | Bublik - Lehecka | 2:0 (6-2, 7-5) ;; W | Monte Carlo, 2R, 07.04.2026 | Bublik - Monfils | 2:0 (6-4, 6-4) ;; L | Ultimate Tennis Showdown, 04.04.2026 | Ruud - Bublik | 3:0 (15-14, 18-8, 20-4)","FINAL",2,1,30,3,"(6-1, 4-6, 7-6)",FALSE
"WTA","Strasbourg","Clay",46164,"today","14:30","SF","Navarro","Li","3211831","https://www.tennisexplorer.com/match-detail/?id=3211831","1-0",1.99,1.8,4,2,8,4,4,6,7,3,"W | Strasbourg, QF, 21.05.2026 | Navarro - Zhang | 2:1 (2-6, 7-6(5), 6-2) ;; W | Strasbourg, R16, 20.05.2026 | Navarro - Jovic | 2:1 (6-4, 4-6, 6-1) ;; W | Strasbourg, 1R, 17.05.2026 | Navarro - Bejlek | 2:0 (6-1, 6-4) ;; L | Paris WTA, R16, 14.05.2026 | Volynets - Navarro | 2:0 (6-3, 6-2) ;; W | Paris WTA, 1R, 12.05.2026 | Navarro - Radivojevic | 2:0 (6-2, 7-6(4)) ;; L | Rome WTA, 2R, 08.05.2026 | Cocciaretto - Navarro | 2:0 (6-3, 6-3) ;; L | Austin 2 WTA, 1R, 11.03.2026 | Sun - Navarro | 2:0 (6-4, 6-4) ;; L | Indian Wells, 2R, 07.03.2026 | Kartal - Navarro | 2:1 (6-1, 3-6, 7-6(2)) ;; L | Mérida, R16, 27.02.2026 | Zhang - Navarro | 2:0 (6-4, 6-4) ;; L | Dubai, 2R, 17.02.2026 | Mertens - Navarro | 2:0 (6-2, 6-2)","W | Strasbourg, QF, 21.05.2026 | Li - Bouzkova | 2:0 (6-3, 7-5) ;; W | Strasbourg, R16, 19.05.2026 | Li - Alexandrova | 2:1 (4-6, 6-4, 6-3) ;; W | Strasbourg, 1R, 17.05.2026 | Li - Joint | 2:0 (6-1, 6-2) ;; L | Rome WTA, 2R, 08.05.2026 | Samsonova - Li | 2:0 (6-4, 6-3) ;; W | Rome WTA, 1R, 05.05.2026 | Li - Zhang | 2:1 (1-6, 6-4, 6-2) ;; L | Madrid WTA, R16, 27.04.2026 | Fernandez - Li | 2:0 (6-3, 6-2) ;; W | Madrid WTA, 3R, 25.04.2026 | Li - Swiatek | 1:0 (7-6(4), 2-6, 3-0) ;; W | Madrid WTA, 2R, 23.04.2026 | Li - Parks | 2:1 (6-2, 6(5)-7, 6-3) ;; L | Rouen WTA, QF, 17.04.2026 | Kostyuk - Li | 2:1 (6-0, 6(4)-7, 6-3) ;; W | Rouen WTA, R16, 15.04.2026 | Li - Rakhimova | 2:1 (4-6, 6-2, 6-3)","FINAL",2,0,16,2,"(6-1, 6-3)",FALSE
"WTA","Strasbourg","Clay",46164,"today","16:30","SF","Mboko","Cristian","3211889","https://www.tennisexplorer.com/match-detail/?id=3211889","0-0",1.35,3.15,2,1,5,4,7,3,5,5,"W | Strasbourg, QF, 21.05.2026 | Mboko - Fernandez | 2:0 (6-4, 6-4) ;; W | Strasbourg, R16, 19.05.2026 | Mboko - Boisson | 2:0 (6-4, 6-3) ;; L | Madrid WTA, 2R, 24.04.2026 | McNally - Mboko | 2:0 (6-4, 6-1) ;; L | Miami, QF, 24.03.2026 | Muchova - Mboko | 2:0 (7-5, 7-6(5)) ;; W | Miami, R16, 23.03.2026 | Mboko - Andreeva | 2:1 (7-6(4), 4-6, 6-0) ;; W | Miami, 3R, 21.03.2026 | Mboko - Zakharova | 2:0 (6-1, 7-5) ;; W | Miami, 2R, 20.03.2026 | Mboko - Blinkova | 2:0 (6-2, 6-0) ;; L | Indian Wells, QF, 12.03.2026 | Sabalenka - Mboko | 2:0 (7-6(0), 6-4) ;; W | Indian Wells, R16, 11.03.2026 | Mboko - Anisimova | 2:0 (6-4, 6-1) ;; W | Indian Wells, 3R, 09.03.2026 | Mboko - Kalinskaya | 2:0 (6-4, 6-1)","W | Strasbourg, QF, 21.05.2026 | Cristian - Kasatkina | 2:1 (7-6(3), 3-6, 6-2) ;; W | Strasbourg, R16, 20.05.2026 | Cristian - Tauson | 2:0 (6-1, 7-5) ;; W | Strasbourg, 1R, 18.05.2026 | Cristian - Kessler | 2:0 (6-1, 6-1) ;; L | Rome WTA, 2R, 08.05.2026 | Pliskova - Cristian | 2:1 (6(5)-7, 7-6(2), 6-4) ;; L | Madrid WTA, 3R, 25.04.2026 | Sabalenka - Cristian | 2:0 (6-1, 6-4) ;; W | Madrid WTA, 2R, 23.04.2026 | Cristian - Starodubtseva | 2:1 (3-6, 7-6(5), 6-4) ;; L | Rouen WTA, R16, 15.04.2026 | Boulter - Cristian | 2:1 (7-6(5), 4-6, 6-1) ;; W | Rouen WTA, 1R, 14.04.2026 | Cristian - Rakotomanga Rajaonah | 2:1 (2-6, 7-6(6), 7-5) ;; L | Linz, 1R, 07.04.2026 | Korpatsch - Cristian | 2:1 (4-6, 6-1, 6-4) ;; L | Miami, R16, 23.03.2026 | Pegula - Cristian | 2:0 (6-4, 6-1)","FINAL",2,1,30,3,"(7-6, 3-6, 6-2)",FALSE
"WTA","Rabat","Clay",46164,"today","14:00","SF","Udvardy","Kalinina","3211807","https://www.tennisexplorer.com/match-detail/?id=3211807","0-3",3.25,1.33,15,9,29,6,7,3,8,2,"W | Rabat, QF, 21.05.2026 | Udvardy - Osorio | 2:0 (7-5, 6-3) ;; W | Rabat, R16, 20.05.2026 | Udvardy - Nahimana | 2:0 (6-4, 6-1) ;; W | Rabat, 1R, 18.05.2026 | Udvardy - Vandewinkel | 2:0 (6-4, 6-2) ;; W | Bundesliga - women, 14.05.2026 | Udvardy - Jakupovic | 2:0 (7-5, 6-3) ;; W | Bundesliga - women, 10.05.2026 | Udvardy - Werner | 2:0 (6-3, 7-5) ;; L | Rome WTA, 2R, 07.05.2026 | Mertens - Udvardy | 2:0 (6-4, 6-2) ;; W | Rome WTA, 1R, 06.05.2026 | Udvardy - Korneeva | 2:0 (6-2, 7-6(2)) ;; L | Bundesliga - women, 01.05.2026 | Maristany Zuleta De Reales - Udvardy | 2:1 (2-6, 6-4, 10-4) ;; L | Madrid WTA, 2R, 23.04.2026 | Andreeva - Udvardy | 2:0 (7-5, 6-2) ;; W | Madrid WTA, 1R, 22.04.2026 | Udvardy - Birrell | 2:1 (6-4, 1-6, 6-1)","W | Rabat, QF, 21.05.2026 | Kalinina - Bondar | 2:0 (6-4, 7-5) ;; W | Rabat, R16, 20.05.2026 | Kalinina - Starodubtseva | 2:0 (6-3, 7-6(3)) ;; W | Rabat, 1R, 18.05.2026 | Kalinina - Waltert | 2:0 (6-3, 6-4) ;; L | Rome WTA, 2R, 07.05.2026 | Sierra - Kalinina | 2:0 (6-2, 6-3) ;; W | Rome WTA, Q-2R, 05.05.2026 | Kalinina - Volynets | 2:0 (6-2, 6-3) ;; W | Rome WTA, Q-1R, 04.05.2026 | Kalinina - Osorio | 2:0 (6-3, 7-5) ;; L | Madrid WTA, 3R, 25.04.2026 | Osaka - Kalinina | 2:0 (6-1, 6-3) ;; W | Madrid WTA, 2R, 23.04.2026 | Kalinina - Bouzkova | 2:0 (6-4, 6-3) ;; W | Madrid WTA, 1R, 22.04.2026 | Kalinina - Rakhimova | 2:1 (6-2, 5-7, 6-2) ;; W | Madrid WTA, Q-2R, 21.04.2026 | Kalinina - Stephens | 2:1 (2-6, 7-6(5), 6-2)","FINAL",0,2,15,2,"(6-0, 6-3)",TRUE
"WTA","Rabat","Clay",46164,"today","15:30","SF","Teichmann","Marcinko","3212111","https://www.tennisexplorer.com/match-detail/?id=3212111","0-1",2.65,1.46,6,4,7,4,6,4,7,3,"W | Rabat, QF, 21.05.2026 | Teichmann - Kabbaj | 2:1 (6-1, 5-7, 7-6(6)) ;; W | Rabat, R16, 20.05.2026 | Teichmann - Parks | 2:0 (6-3, 6-4) ;; W | Rabat, 1R, 18.05.2026 | Teichmann - Grabher | 2:0 (6-4, 7-6(5)) ;; L | Rome WTA, Q-2R, 05.05.2026 | Masarova - Teichmann | 2:1 (1-6, 6-1, 6-1) ;; W | Rome WTA, Q-1R, 04.05.2026 | Teichmann - Vandewinkel | 2:0 (6-4, 6-3) ;; L | La Bisbal, R16, 29.04.2026 | Korpatsch - Teichmann | 2:0 (6-3, 6-2) ;; W | La Bisbal, 1R, 28.04.2026 | Teichmann - Bouzas Maneiro | 2:0 (7-5, 6-0) ;; L | Oeiras 3 ITF, 1R, 21.04.2026 | Osuigwe - Teichmann | 2:0 (6-1, 6-3) ;; L | Oeiras WTA, Q-QF, 13.04.2026 | Vrancken Peeters - Teichmann | 2:0 (6-4, 6-4) ;; W | Oeiras WTA, Q-R16, 12.04.2026 | Teichmann - Toth | 2:0 (6-2, 6-4)","W | Rabat, QF, 21.05.2026 | Marcinko - Bouzas Maneiro | 2:0 (6-3, 6-4) ;; W | Rabat, R16, 20.05.2026 | Marcinko - Kotliar | 2:1 (5-7, 6-2, 7-6(1)) ;; W | Rabat, 1R, 18.05.2026 | Marcinko - Zvonareva | 2:0 (6-2, 6-4) ;; L | Rome WTA, 1R, 05.05.2026 | Oliynykova - Marcinko | 2:0 (6-1, 6-3) ;; L | Madrid WTA, 2R, 23.04.2026 | Bencic - Marcinko | 2:0 (6-4, 6-2) ;; W | Madrid WTA, 1R, 21.04.2026 | Marcinko - Jimenez Kasintseva | 2:0 (6-0, 7-5) ;; L | Oeiras WTA, SF, 18.04.2026 | Kraus - Marcinko | 2:1 (6-4, 1-6, 6-4) ;; W | Oeiras WTA, QF, 17.04.2026 | Marcinko - Sramkova | 2:1 (7-6(4), 5-7, 6-3) ;; W | Oeiras WTA, R16, 15.04.2026 | Marcinko - Minnen | 2:0 (6-2, 6-4) ;; W | Oeiras WTA, 1R, 13.04.2026 | Marcinko - Brancaccio | 2:0 (7-5, 6-1)","FINAL",0,2,22,2,"(7-6, 6-3)",TRUE
"ATP","French Open","Clay",46166,"24 May","11:00","1R","Walton","Medvedev","3211773","https://www.tennisexplorer.com/match-detail/?id=3211773","1-1",11.9,1.04,1,2,6,3,7,3,6,4,"L | Wuxi challenger, QF, 08.05.2026 | Yunchaokete - Walton | 2:0 (6-2, 6-0) ;; W | Wuxi challenger, R16, 07.05.2026 | Walton - McCabe | 2:0 (6-3, 7-6(1)) ;; W | Wuxi challenger, 1R, 05.05.2026 | Walton - Hsu | 2:0 (6-4, 6-4) ;; L | Jiujiang challenger, F, 03.05.2026 | Wong - Walton | 2:0 (7-5, 7-6(4)) ;; W | Jiujiang challenger, SF, 02.05.2026 | Walton - Bolt | 2:1 (6-2, 3-6, 7-6(5)) ;; W | Jiujiang challenger, QF, 01.05.2026 | Walton - Galarneau | 2:1 (6-1, 6(5)-7, 7-6(3)) ;; W | Jiujiang challenger, R16, 30.04.2026 | Walton - Wu | 2:1 (5-7, 6-3, 7-6(4)) ;; W | Jiujiang challenger, 1R, 29.04.2026 | Walton - Cui | 2:0 (6-3, 6-2) ;; L | Madrid, 2R, 25.04.2026 | Khachanov - Walton | 2:0 (6-2, 6-3) ;; W | Madrid, 1R, 23.04.2026 | Walton - Landaluce | 2:0 (6-2, 6-3)","L | Rome, SF, 16.05.2026 | Sinner - Medvedev | 2:1 (6-2, 5-7, 6-4) ;; W | Rome, QF, 14.05.2026 | Medvedev - Landaluce | 2:1 (1-6, 6-4, 7-5) ;; W | Rome, R16, 12.05.2026 | Medvedev - Tirante | 2:0 (6-3, 6-2) ;; W | Rome, 3R, 11.05.2026 | Medvedev - Llamas Ruiz | 2:1 (3-6, 6-4, 6-2) ;; W | Rome, 2R, 09.05.2026 | Medvedev - Machac | 1:0 () ;; L | Madrid, R16, 28.04.2026 | Cobolli - Medvedev | 2:1 (6-3, 5-7, 6-4) ;; W | Madrid, 3R, 27.04.2026 | Medvedev - Budkov Kjaer | 2:0 (6-3, 6-2) ;; W | Madrid, 2R, 25.04.2026 | Medvedev - Marozsan | 2:1 (6-2, 6(3)-7, 6-4) ;; L | Monte Carlo, 2R, 08.04.2026 | Berrettini - Medvedev | 2:0 (6-0, 6-0) ;; L | Miami, 3R, 23.03.2026 | Cerundolo - Medvedev | 2:1 (6-0, 4-6, 7-5)","FINAL",3,2,39,5,"(6-2, 1-6, 6-1, 1-6, 6-4)",FALSE
"ATP","French Open","Clay",46166,"24 May","11:00","1R","Popyrin","Svajda","3211771","https://www.tennisexplorer.com/match-detail/?id=3211771","0-0",1.13,6.05,6,5,1,5,5,5,3,7,"L | Geneva, QF, 21.05.2026 | Ruud - Popyrin | 2:0 (6-4, 6-3) ;; W | Geneva, R16, 20.05.2026 | Popyrin - Fritz | 2:0 (6-4, 6-4) ;; W | Geneva, 1R, 19.05.2026 | Popyrin - Tabur | 2:1 (7-6(2), 6(5)-7, 6-4) ;; L | Rome, 3R, 11.05.2026 | Sinner - Popyrin | 2:0 (6-2, 6-0) ;; W | Rome, 2R, 09.05.2026 | Popyrin - Mensik | 2:1 (6-3, 2-6, 6-4) ;; W | Rome, 1R, 07.05.2026 | Popyrin - Berrettini | 2:0 (6-2, 6-3) ;; L | Madrid, 1R, 23.04.2026 | Damm - Popyrin | 2:0 (7-6(7), 6-4) ;; L | Monte Carlo, 1R, 07.04.2026 | Ruud - Popyrin | 2:0 (6-3, 6-4) ;; L | Houston, QF, 04.04.2026 | Tiafoe - Popyrin | 2:1 (3-6, 6-4, 7-6(6)) ;; W | Houston, R16, 03.04.2026 | Popyrin - Michelsen | 2:1 (6-0, 4-6, 6-1)","L | Geneva, Q-R16, 16.05.2026 | Rehberg - Svajda | 2:0 (6-2, 6-2) ;; L | Rome, 2R, 08.05.2026 | Ruud - Svajda | 2:0 (6-1, 6-3) ;; W | Rome, 1R, 06.05.2026 | Svajda - Trungelliti | 2:1 (0-6, 6-4, 7-6(4)) ;; L | Cagliari challenger, 1R, 28.04.2026 | Hurkacz - Svajda | 2:0 (6-2, 7-6(8)) ;; L | Madrid, Q-1R, 20.04.2026 | Sakamoto - Svajda | 2:0 (7-6(9), 6-1) ;; L | Houston, 1R, 30.03.2026 | Vallejo - Svajda | 2:0 (6-1, 6-4) ;; L | Miami, 1R, 19.03.2026 | Kouame - Svajda | 2:1 (5-7, 6-4, 6-4) ;; W | Miami, Q-2R, 17.03.2026 | Svajda - Merida Aguilar | 2:1 (6-0, 6(2)-7, 6-2) ;; W | Miami, Q-1R, 17.03.2026 | Svajda - Smith | 2:1 (6(6)-7, 6-3, 6-1) ;; L | Indian Wells, 2R, 07.03.2026 | Davidovich Fokina - Svajda | 2:0 (7-6(0), 6-2)","FINAL",1,3,43,4,"(3-6, 6-3, 7-6, 7-5)",TRUE
